OBJECTID,Network,Bikeway,Street,From_,To_,Shape_Leng,Install_Date,Region,Bikeway_Type,Datasource_DT
2796,Backbone,Lane,SAN VICENTE BL,CANYON VIEW DR,CLIFFWOOD AV,,2005/01/01 00:00:00+00,West Los Angeles,Lane,2023/10/17 00:00:00+00
2797,Backbone,Lane,SAN VICENTE BL,BURLINGAME AV,MORENO AV,,2005/01/01 00:00:00+00,West Los Angeles,Lane,2023/10/17 00:00:00+00
2798,Backbone,Lane,SAN VICENTE BL,BURLINGAME AV,BURLINGAME AV,,2005/01/01 00:00:00+00,West Los Angeles,Lane,2023/10/17 00:00:00+00
2799,Backbone,Lane,SAN VICENTE BL,BRISTOL AV,BURLINGAME AV,,2005/01/01 00:00:00+00,West Los Angeles,Lane,2023/10/17 00:00:00+00
2800,Backbone,Lane,98TH ST,MAIN ST,BROADWAY,,2005/01/01 00:00:00+00,South Los Angeles,Lane,2023/10/17 00:00:00+00
2801,Backbone,Lane,VENICE BL,SHELL AV,IRVING TABOR CT,,2005/01/01 00:00:00+00,West Los Angeles,Lane,2023/10/17 00:00:00+00
2802,Backbone,Lane,VENICE BL,GRAND VIEW AV,PADUA PL,,2005/01/01 00:00:00+00,West Los Angeles,Lane,2023/10/17 00:00:00+00
2803,Backbone,Lane,VENICE BL,HAUSER BL,CARMONA AV,,2005/01/01 00:00:00+00,West Los Angeles,Lane,2023/10/17 00:00:00+00
2804,Backbone,Lane,VENICE BL,CARMONA AV,SIERRA BONITA AV/AIRDROME ST,,2005/01/01 00:00:00+00,West Los Angeles,Lane,2023/10/17 00:00:00+00
2805,Backbone,Buffer Bike Lane,VENICE BL,VENICE BL N SERV RD,CLOVERDALE AV,,2005/01/01 00:00:00+00,West Los Angeles,Buffer Bike Lane,2023/10/17 00:00:00+00
2806,Backbone,Buffer Bike Lane,VENICE BL,CLOVERDALE AV,COCHRAN AV,,2005/01/01 00:00:00+00,West Los Angeles,Buffer Bike Lane,2023/10/17 00:00:00+00
2807,Backbone,Buffer Bike Lane,VENICE BL,LA BREA AV,MANSFIELD AV,,2005/01/01 00:00:00+00,West Los Angeles,Buffer Bike Lane,2023/10/17 00:00:00+00
2808,Backbone,Lane,VENICE BL,HIGHLAND AV,LA BREA AV,,2005/01/01 00:00:00+00,South Los Angeles,Lane,2023/10/17 00:00:00+00
2809,Backbone,Lane,VENICE BL,LONGWOOD AV,HIGHLAND AV,,2005/01/01 00:00:00+00,South Los Angeles,Lane,2023/10/17 00:00:00+00
2810,Backbone,Lane,VENICE BL,ST CHARLES PL,LONGWOOD AV,,2005/01/01 00:00:00+00,South Los Angeles,Lane,2023/10/17 00:00:00+00
2811, ,Buffer Bike Lane,VENICE BL,7TH AV,NORTON AV,,2020/11/20 00:00:00+00,South Los Angeles,Buffer Bike Lane,2023/10/17 00:00:00+00
2812, ,Buffer Bike Lane,VENICE BL,6TH AV,7TH AV,,2020/11/20 00:00:00+00,South Los Angeles,Buffer Bike Lane,2023/10/17 00:00:00+00
2813, ,Protected Bike Lane,SAN VICENTE BL,SYCAMORE AV,REDONDO BL,,2022/10/24 00:00:00+00,West Los Angeles,Protected Bike Lane,2023/10/17 00:00:00+00
2814,Backbone,Lane,98TH ST,WALL ST,MAIN ST,,2005/01/01 00:00:00+00,South Los Angeles,Lane,2023/10/17 00:00:00+00
2815,Backbone,Lane,98TH ST,AVALON BL,TOWNE AV,,2005/01/01 00:00:00+00,South Los Angeles,Lane,2023/10/17 00:00:00+00
2816,Backbone,Lane,RESEDA BL,HATTERAS ST,COLLINS ST,,2005/01/01 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
2817,Backbone,Lane,RESEDA BL,COLLINS ST,VENTURA FY,,2005/01/01 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
2818, ,Lane,BURBANK BL,MURIETTA AV,HAZELTINE AV,,2012/06/03 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
2819, ,Lane,BURBANK BL,CANTALOUPE AV,RANCHITO AV,,2012/06/03 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
2820, ,Buffer Bike Lane,GLENDALE BL,ROCKWOOD ST,BEVERLY BL,,2021/09/21 00:00:00+00,North Central,Buffer Bike Lane,2023/10/17 00:00:00+00
2821,Backbone,Buffer Bike Lane,VALLEY CIRCLE BLVD,VANOWEN ST,CORIE LN,,2021/10/29 00:00:00+00,West Valley,Buffer Bike Lane,2023/10/17 00:00:00+00
2822,Backbone,Lane,VALLEY CIRCLE BL,VICTORY BL,FRIAR ST,,2005/01/01 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
2823,Backbone,Buffer Bike Lane,VALLEY CIRCLE BL,HATTERAS ST,BURBANK BL,,2020/10/28 00:00:00+00,West Valley,Buffer Bike Lane,2023/10/17 00:00:00+00
2824,Backbone,Lane,RINALDI ST,GAYNOR AV,GAVIOTA AV,,2005/01/01 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
2825,Backbone,Lane,RINALDI ST,WOODLEY AV,SWINTON AV,,2005/01/01 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
2826,Backbone,Lane,RINALDI ST,SHOSHONE AV,WHITE OAK AV,,2005/01/01 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
2827,Backbone,Lane,RINALDI ST,ENCINO AV,SHOSHONE AV,,2005/01/01 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
2828, ,Buffer Bike Lane,MONTEREY RD,VIA MARISOL,WHEELING WY,,2017/05/17 00:00:00+00,North Central,Buffer Bike Lane,2023/10/17 00:00:00+00
2829, ,Route,SAINT ESTABAN ST,HAINES CANYON AV,MARCUS AV,,2016/04/01 00:00:00+00,East Valley,Route,2023/10/17 00:00:00+00
2830, ,Route,TUJUNGA CANYON BL,FAIRGROVE AV,MARCUS AV,,2016/04/01 00:00:00+00,East Valley,Route,2023/10/17 00:00:00+00
2831, ,Route,TUJUNGA CANYON BL,FAIRGROVE AV,MARCUS AV,,2016/04/01 00:00:00+00,East Valley,Route,2023/10/17 00:00:00+00
2832, ,Route,TUJUNGA CANYON BL,MARCUS AV,GLORY AV,,2016/04/01 00:00:00+00,East Valley,Route,2023/10/17 00:00:00+00
2833,Backbone,Lane,IMPERIAL HY,AIRPORT TERMINAL ENTRANCE,MAIN ST (EL SEGUNDO),,2005/01/01 00:00:00+00,West Los Angeles,Lane,2023/10/17 00:00:00+00
2834,Neighborhood,Lane,PERSHING DR,SANDPIPER ST,WORLD WAY WEST,,2006/10/13 00:00:00+00,West Los Angeles,Lane,2023/10/17 00:00:00+00
2835,Backbone,Lane,WESTCHESTER PY,GEORGETOWN AV,LOYOLA BL,,2005/01/01 00:00:00+00,West Los Angeles,Lane,2023/10/17 00:00:00+00
2836,Backbone,Lane,WESTCHESTER PY,LOYOLA BL,FALMOUTH AV,,2005/01/01 00:00:00+00,West Los Angeles,Lane,2023/10/17 00:00:00+00
2837,Backbone,Lane,WESTCHESTER PY,LA TIJERA PY,EMERSON AV,,2005/01/01 00:00:00+00,West Los Angeles,Lane,2023/10/17 00:00:00+00
2838, ,Lane,DEGNAN BL,41ST ST,STOCKER ST,,2012/12/16 00:00:00+00,South Los Angeles,Lane,2023/10/17 00:00:00+00
2839,Backbone,Lane,GLENOAKS BL,TRUESDALE ST,SHELDON ST,,2005/01/01 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
2840,Backbone,Lane,GLENOAKS BL,SUNLAND BL,VINEDALE ST/HELEN AV,,2005/01/01 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
2841,Backbone,Lane,DEVONSHIRE ST,VANALDEN AV,TAMPA AV,,2005/01/01 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
2842,Backbone,Lane,DEVONSHIRE ST,CORBIN AV,OAKDALE AV,,2005/01/01 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
2843,Backbone,Lane,DEVONSHIRE ST,OSO AV,MASON AV,,2005/01/01 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
2844,Backbone,Lane,FALLBROOK AV,BALTAR ST,STRATHERN ST,,2005/01/01 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
2845,Backbone,Lane,FALLBROOK AV,ERWIN ST,CALVERT ST,,2005/01/01 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
2846,Backbone,Lane,FALLBROOK AV,CALIFA ST,HATTERAS ST,,2005/01/01 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
2847,Backbone,Lane,FALLBROOK AV,MIRANDA ST,COLLINS ST,,2005/01/01 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
2848,Backbone,Lane,FALLBROOK AV,DOLOROSA ST,CLARENDON ST,,2005/01/01 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
2849, ,Buffer Bike Lane,VINELAND AV,245' S/O CHANDLER BL,WEDDINGTON ST,,2015/08/28 00:00:00+00,East Valley,Buffer Bike Lane,2023/10/17 00:00:00+00
2850, ,Protected Bike Lane,VINELAND AV,HOUSTON ST,CAMARILLO ST/LANKERSHIM BL,,2020/05/01 00:00:00+00,East Valley,Protected Bike Lane,2023/10/17 00:00:00+00
2851, ,Buffer Bike Lane,VINELAND AV,RIVERSIDE DR,MOORPARK ST,,2015/08/28 00:00:00+00,East Valley,Buffer Bike Lane,2023/10/17 00:00:00+00
2852, ,Lane,VINELAND AV,BLUFFSIDE DR,VENTURA BL,,2014/07/17 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
2853, ,Lane,BURBANK BL,FULTON AV,VARNA AV,,2012/06/03 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
2854, ,Lane,BURBANK BL,RHODES AV,WHITSETT AV,,2012/06/03 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
2855, ,Lane,BURBANK BL,LAUREL CANYON BL,VANTAGE AV,,2012/06/03 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
2856, ,Lane,BURBANK BL,AGNES AV,LAUREL CANYON BL,,2012/06/03 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
2857, ,Buffer Bike Lane,VINELAND AV,MOORPARK ST,BLOOMFIELD ST,,2014/07/17 00:00:00+00,East Valley,Buffer Bike Lane,2023/10/17 00:00:00+00
2858,Backbone,Lane,WESTWOOD BL,MASSACHUSETTS AV,SANTA MONICA BL,,2005/01/01 00:00:00+00,West Los Angeles,Lane,2023/10/17 00:00:00+00
2859, ,Route,RIVERSIDE DR,CABOT ST,DALLAS ST,,2005/01/01 00:00:00+00,North Central,Route,2023/10/17 00:00:00+00
2860, ,Route,RIVERSIDE DR,SAN FERNANDO RD,1200' W/O SAN FERNANDO RD,,2005/01/01 00:00:00+00,North Central,Route,2023/10/17 00:00:00+00
2861, ,Route,RIVERSIDE DR,SAN FERNANDO RD,1200' W/O SAN FERNANDO RD,,2005/01/01 00:00:00+00,North Central,Route,2023/10/17 00:00:00+00
2862, ,Route,RIVERSIDE DR,ELMGROVE ST,FERNLEAF ST,,2005/01/01 00:00:00+00,North Central,Route,2023/10/17 00:00:00+00
2863, ,Route,RIVERSIDE DR,GLENEDEN ST,GILROY ST,,2005/01/01 00:00:00+00,North Central,Route,2023/10/17 00:00:00+00
2864, ,Route,RIVERSIDE DR,FRUITDALE ST,FLETCHER DR,,2005/01/01 00:00:00+00,North Central,Route,2023/10/17 00:00:00+00
2865,Backbone,Lane,98TH ST,TOWNE AV,SAN PEDRO ST,,2005/01/01 00:00:00+00,South Los Angeles,Lane,2023/10/17 00:00:00+00
2866,Backbone,Lane,ANAHEIM ST,FARRAGUT AV,FOOTE AV,,2005/01/01 00:00:00+00,Harbor,Lane,2023/10/17 00:00:00+00
2867,Backbone,Protected Bike Lane,BALBOA BL,TENNYSON PL,LISETTE ST/WOODLEY AV,,2019/06/12 00:00:00+00,West Valley,Protected Bike Lane,2023/10/17 00:00:00+00
2868,Backbone,Route,BEACON ST,190' S/O 7TH ST,8TH ST,,2005/01/01 00:00:00+00,Harbor,Route,2023/10/17 00:00:00+00
2869,Backbone,Route,BEACON ST,9TH ST,10TH ST,,2005/01/01 00:00:00+00,Harbor,Route,2023/10/17 00:00:00+00
2870,Backbone,Route,BEACON ST,10TH ST,11TH ST,,2005/01/01 00:00:00+00,Harbor,Route,2023/10/17 00:00:00+00
2871,Backbone,Buffer Bike Lane,GRIFFITH PARK BL,HYPERION AV,ANGUS ST,,2020/09/22 00:00:00+00,North Central,Buffer Bike Lane,2023/10/17 00:00:00+00
2872,Backbone,Lane,GRIFFITH PARK BL,ST GEORGE ST,HYPERION AV,,2005/01/01 00:00:00+00,North Central,Lane,2023/10/17 00:00:00+00
2873,Backbone,Lane,GRIFFITH PARK BL,FERNWOOD AV,LANDA ST,,2005/01/01 00:00:00+00,North Central,Lane,2023/10/17 00:00:00+00
2874,Backbone,Lane,IMPERIAL HY,NASH ST/ROBERT PRESCOTT WY (PVT),HUGHES WY (PVT),,2005/01/01 00:00:00+00,West Los Angeles,Lane,2023/10/17 00:00:00+00
2875,Backbone,Lane,IMPERIAL HY,HUGHES WY (PVT),SEPULVEDA BL,,2005/01/01 00:00:00+00,West Los Angeles,Lane,2023/10/17 00:00:00+00
2876,Backbone,Lane,LAUREL CANYON BL,ADDISON ST,MORRISON ST,,2005/01/01 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
2877,Backbone,Buffer Bike Lane,LAUREL CANYON BL,CALIFA ST,EMELITA ST,,2020/04/23 00:00:00+00,East Valley,Buffer Bike Lane,2023/10/17 00:00:00+00
2878,Backbone,Lane,MULHOLLAND DR,GREER RD,DESERET DR,,2005/01/01 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
2879,Backbone,Lane,SEPULVEDA BL,HOWARD HUGHES PY,74TH ST,,2005/01/01 00:00:00+00,West Los Angeles,Lane,2023/10/17 00:00:00+00
2880,Backbone,Lane,SHERMAN WY,MAYNARD AV,FALLBROOK AV,,2005/01/01 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
2881,Backbone,Protected Bike Lane,SHERMAN WY,ROYER AV,SHERMAN PL,,2022/03/14 00:00:00+00,West Valley,Protected Bike Lane,2023/10/17 00:00:00+00
2882,Backbone,Lane,SHERMAN WY,SHOUP AV,ASMAN AV,,2005/01/01 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
2883,Backbone,Lane,SHERMAN WY,CARLSON CI,SHOUP AV,,2005/01/01 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
2884,Backbone,Protected Bike Lane,SHERMAN WY,SHERMAN PL,WOODLAKE AV,,2022/03/14 00:00:00+00,West Valley,Protected Bike Lane,2023/10/17 00:00:00+00
2885,Backbone,Lane,SHERMAN WY,TUJUNGA AV,KRAFT AV,,2005/01/01 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
2886,Backbone,Lane,SHERMAN WY,IRVINE AV,TROOST AV,,2005/01/01 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
2887,Backbone,Lane,SHERMAN WY,RADFORD AV,LAUREL CANYON BL,,2005/01/01 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
2888,Backbone,Lane,SUNSET BL,GOLDEN GATE AV,MALTMAN AV,,2005/01/01 00:00:00+00,North Central,Lane,2023/10/17 00:00:00+00
2889,Backbone,Lane,SUNSET BL,BENTON WY,OCCIDENTAL BL,,2005/01/01 00:00:00+00,North Central,Lane,2023/10/17 00:00:00+00
2890,Backbone,Lane,SUNSET BL,GOLDEN GATE AV,GOLDEN GATE AV,,2005/01/01 00:00:00+00,North Central,Lane,2023/10/17 00:00:00+00
2891,Backbone,Lane,SUNSET BL,MOHAWK ST,ROSEMONT AV,,2005/01/01 00:00:00+00,North Central,Lane,2023/10/17 00:00:00+00
2892,Backbone,Lane,SUNSET BL,DESCANSO DR,MICHELTORENA ST,,2005/01/01 00:00:00+00,North Central,Lane,2023/10/17 00:00:00+00
2893,Backbone,Lane,SUNSET BL,SUTHERLAND ST,PORTIA ST,,2005/01/01 00:00:00+00,North Central,Lane,2023/10/17 00:00:00+00
2894,Backbone,Lane,SUNSET BL,LUCILE AV,HYPERION AV,,2005/01/01 00:00:00+00,North Central,Lane,2023/10/17 00:00:00+00
2895,Backbone,Lane,VALLEY CIRCLE BL,VENTURA FY,CALABASAS RD/AVENUE SAN LUIS,,2005/01/01 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
2896,Backbone,Lane,WINNETKA AV,INGOMAR ST,STAGG ST,,2010/07/01 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
2897,Backbone,Lane,WINNETKA AV,CHASE ST,COMMUNITY ST,,2010/07/01 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
2898,Neighborhood,Route,39TH ST,ARLINGTON AV,2ND AV,,2005/01/01 00:00:00+00,South Los Angeles,Route,2023/10/17 00:00:00+00
2899,Neighborhood,Route,39TH ST,CRENSHAW BL,MARLTON AV,,2005/01/01 00:00:00+00,South Los Angeles,Route,2023/10/17 00:00:00+00
2900,Neighborhood,Route,39TH ST,ST ANDREWS PL,GRAMERCY PL,,2005/01/01 00:00:00+00,South Los Angeles,Route,2023/10/17 00:00:00+00
2901,Neighborhood,Lane,92ND ST,HOLMES AV,BEACH ST,,2005/01/01 00:00:00+00,South Los Angeles,Lane,2023/10/17 00:00:00+00
2902,Neighborhood,Lane,9TH ST,WALKER AV,PATTON AV,,2005/01/01 00:00:00+00,Harbor,Lane,2023/10/17 00:00:00+00
2903,Neighborhood,Lane,9TH ST,ORO TE,WALKER AV,,2005/01/01 00:00:00+00,Harbor,Lane,2023/10/17 00:00:00+00
2904,Neighborhood,Lane,9TH ST,ELLERY DR,DODSON AV,,2005/01/01 00:00:00+00,Harbor,Lane,2023/10/17 00:00:00+00
2905,Neighborhood,Lane,9TH ST,PATTON AV,AVERILL AV,,2005/01/01 00:00:00+00,Harbor,Lane,2023/10/17 00:00:00+00
2906,Neighborhood,Lane,AVENUE 50,BANKS COURT DR,IRVINGTON PL,,2005/01/01 00:00:00+00,North Central,Lane,2023/10/17 00:00:00+00
2907,Neighborhood,Buffer Bike Lane,AVENUE 50,SAN RAFAEL AV,EL PASO DR,,2022/01/11 00:00:00+00,North Central,Buffer Bike Lane,2023/10/17 00:00:00+00
2908,Neighborhood,Buffer Bike Lane,AVENUE 50,ALDAMA ST,MILO TE,,2022/01/11 00:00:00+00,North Central,Buffer Bike Lane,2023/10/17 00:00:00+00
2909,Neighborhood,Route,AVENUE 50,MENDOTA AV,BALTIMORE ST,,2005/01/01 00:00:00+00,North Central,Route,2023/10/17 00:00:00+00
2910,Neighborhood,Lane,AVALON BL,LOMITA BL,DON ST,,2005/01/01 00:00:00+00,Harbor,Lane,2023/10/17 00:00:00+00
2911,Neighborhood,Lane,AVALON BL,247TH ST,248TH ST,,2005/01/01 00:00:00+00,Harbor,Lane,2023/10/17 00:00:00+00
2912,Neighborhood,Route,BARRINGTON AV,OHIO AV,SANTA MONICA BL,,2005/01/01 00:00:00+00,West Los Angeles,Route,2023/10/17 00:00:00+00
2913,Neighborhood,Route,BARRINGTON AV,TENNESSEE AV,PICO BL,,2005/01/01 00:00:00+00,West Los Angeles,Route,2023/10/17 00:00:00+00
2914,Neighborhood,Lane,BURBANK BL,EL CANON AV,BLANCO AV,,2005/01/01 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
2915,Neighborhood,Route,HOOVER ST,82ND ST,83RD ST,,2005/01/01 00:00:00+00,South Los Angeles,Route,2023/10/17 00:00:00+00
2916,Neighborhood,Route,HOOVER ST,85TH ST,MANCHESTER AV,,2005/01/01 00:00:00+00,South Los Angeles,Route,2023/10/17 00:00:00+00
2917,Neighborhood,Route,HOOVER ST,52ND ST,52ND PL,,2005/01/01 00:00:00+00,South Los Angeles,Route,2023/10/17 00:00:00+00
2918,Neighborhood,Lane,HOOVER ST,42ND PL,43RD ST,,2019/04/23 00:00:00+00,South Los Angeles,Lane,2023/10/17 00:00:00+00
2919,Neighborhood,Route,HOOVER ST,FLORENCE AV,73RD ST,,2005/01/01 00:00:00+00,South Los Angeles,Route,2023/10/17 00:00:00+00
2920,Neighborhood,Route,HOOVER ST,59TH PL,60TH ST,,2005/01/01 00:00:00+00,South Los Angeles,Route,2023/10/17 00:00:00+00
2921,Neighborhood,Route,HOOVER ST,57TH ST,58TH ST,,2005/01/01 00:00:00+00,South Los Angeles,Route,2023/10/17 00:00:00+00
2922,Neighborhood,Lane,HOOVER ST,41ST DR,41ST DR,,2019/04/23 00:00:00+00,South Los Angeles,Lane,2023/10/17 00:00:00+00
2923,Neighborhood,Route,HOOVER ST,69TH ST,70TH ST,,2005/01/01 00:00:00+00,South Los Angeles,Route,2023/10/17 00:00:00+00
2924,Neighborhood,Route,HOOVER ST,66TH ST,68TH ST,,2005/01/01 00:00:00+00,South Los Angeles,Route,2023/10/17 00:00:00+00
2925,Neighborhood,Lane,HOOVER ST,"MARTIN LUTHER KING, JR BL",40TH PL,,2019/04/23 00:00:00+00,South Los Angeles,Lane,2023/10/17 00:00:00+00
2926,Neighborhood,Lane,INGOMAR ST,MARCH AV,VALLEY CIRCLE BL,,2005/01/01 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
2927,Neighborhood,Lane,LAUREL CANYON BL,POLK ST,CAREY RANCH LN,,2005/01/01 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
2928,Neighborhood,Lane,LE CONTE AV,HILGARD AV,TIVERTON AV,,2005/01/01 00:00:00+00,West Los Angeles,Lane,2023/10/17 00:00:00+00
2929,Neighborhood,Lane,LOUISE AV,MAYALL ST,LASSEN ST,,2010/11/19 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
2930,Neighborhood,Route,MARMION WY,SHANLEY AV,MUSEUM DR,,2005/01/01 00:00:00+00,North Central,Route,2023/10/17 00:00:00+00
2931,Neighborhood,Lane,"MARTIN LUTHER KING, JR BL",WADSWORTH AV,MCKINLEY AV,,2005/01/01 00:00:00+00,South Los Angeles,Lane,2023/10/17 00:00:00+00
2932,Neighborhood,Lane,MASON AV,D/E N/O,RINALDI ST,,2005/01/01 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
2933,Neighborhood,Lane,MC CLINTOCK AV,30TH ST,JEFFERSON BL,,2005/01/01 00:00:00+00,South Los Angeles,Lane,2023/10/17 00:00:00+00
2934,Neighborhood,Route,MCLAUGHLIN AV,PALMS BL,WESTMINSTER AV,,2005/01/01 00:00:00+00,West Los Angeles,Route,2023/10/17 00:00:00+00
2935,Neighborhood,Route,MERIDIAN ST,AVENUE 56,AVENUE 55,,2005/01/01 00:00:00+00,North Central,Route,2023/10/17 00:00:00+00
2936,Neighborhood,Route,MERIDIAN ST,AVENUE 55,AVENUE 54,,2005/01/01 00:00:00+00,North Central,Route,2023/10/17 00:00:00+00
2937,Neighborhood,Route,MERIDIAN ST,LE GRAY AV,AVENUE 57,,2005/01/01 00:00:00+00,North Central,Route,2023/10/17 00:00:00+00
2938,Neighborhood,Route,MONTANA AV,LEVERING AV,CASHMERE ST,,2005/01/01 00:00:00+00,West Los Angeles,Route,2023/10/17 00:00:00+00
2939,Neighborhood,Route,NATIONAL BL,CHEVIOT VISTA PL,OVERLAND AV,,2005/01/01 00:00:00+00,West Los Angeles,Route,2023/10/17 00:00:00+00
2940,Neighborhood,Lane,OHIO AV,CORINTH AV,PURDUE AV,,2019/07/22 00:00:00+00,West Los Angeles,Lane,2023/10/17 00:00:00+00
2941,Neighborhood,Route,OSBORNE ST,BARTEE AV,ARLETA AV,,2005/01/01 00:00:00+00,East Valley,Route,2023/10/17 00:00:00+00
2942,Neighborhood,Route,OSBORNE ST,SAN FERNANDO RD,EL DORADO AV,,2005/01/01 00:00:00+00,East Valley,Route,2023/10/17 00:00:00+00
2943,Neighborhood,Lane,PLUMMER ST,ETIWANDA AV,DARBY AV (PVT),,2010/03/21 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
2944,Neighborhood,Lane,PLUMMER ST,BALBOA BL,PASO ROBLES AV,,2005/01/01 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
2945,Neighborhood,Lane,PLUMMER ST,ALDEA AV,LOUISE AV,,2005/01/01 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
2946,Neighborhood,Route,PLUMMER ST,SEPULVEDA BL,LANGDON AV,,2005/01/01 00:00:00+00,East Valley,Route,2023/10/17 00:00:00+00
2947,Neighborhood,Route,PLUMMER ST,PETIT AV,BALBOA BL,,2005/01/01 00:00:00+00,West Valley,Route,2023/10/17 00:00:00+00
2948,Neighborhood,Route,PLUMMER ST,GLADBECK AV,YOLANDA AV,,2005/01/01 00:00:00+00,West Valley,Route,2023/10/17 00:00:00+00
2949,Neighborhood,Route,PLUMMER ST,OSO AV,MASON AV,,2005/01/01 00:00:00+00,West Valley,Route,2023/10/17 00:00:00+00
2950,Neighborhood,Route,PLUMMER ST,LURLINE AV,IRONDALE AV,,2005/01/01 00:00:00+00,West Valley,Route,2023/10/17 00:00:00+00
2951,Neighborhood,Route,REPTON ST,AVENUE 65,AVENUE 64,,2005/01/01 00:00:00+00,North Central,Route,2023/10/17 00:00:00+00
2952,Neighborhood,Buffer Bike Lane,RESEDA BL,BRASILIA DR,ASUNCION ST,,2019/12/27 00:00:00+00,West Valley,Buffer Bike Lane,2023/10/17 00:00:00+00
2953,Neighborhood,Buffer Bike Lane,RESEDA BL,ASUNCION ST,RINALDI ST,,2019/12/27 00:00:00+00,West Valley,Buffer Bike Lane,2023/10/17 00:00:00+00
2954,Neighborhood,Lane,RESEDA BL,BEAUFAIT AV,CALLE VISTA CI/CHIMINEAS AV,,2005/01/01 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
2955,Neighborhood,Lane,ROSE AV,SUNSET AV,FREDERICK ST,,2006/06/30 00:00:00+00,West Los Angeles,Lane,2023/10/17 00:00:00+00
2956,Neighborhood,Lane,SAN PEDRO ST,118TH ST,118TH PL,,2010/09/19 00:00:00+00,South Los Angeles,Lane,2023/10/17 00:00:00+00
2957,Neighborhood,Lane,SAN PEDRO ST,119TH ST,120TH ST,,2010/09/19 00:00:00+00,South Los Angeles,Lane,2023/10/17 00:00:00+00
2958,Neighborhood,Lane,SESNON BL,HIGH GLEN WY (PVT),CRYSTAL SPRINGS CI (PVT),,2005/01/01 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
2959,Neighborhood,Lane,SESNON BL,PORTER RANCH DR,MASON AV,,2005/01/01 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
2960,Neighborhood,Lane,SESNON BL,TURTLE RIDGE WY (PVT),HIGH GLEN WY (PVT),,2005/01/01 00:00:00+00,West Valley,Lane,2023/10/17 00:00:00+00
2961,Neighborhood,Route,STEPHEN M WHITE DR,BLUFF PL,OLIVER VICKERY CIRCLE WY,,2005/01/01 00:00:00+00,Harbor,Route,2023/10/17 00:00:00+00
2962,Backbone,Lane,RIVERSIDE DR,LONGRIDGE AV,FULTON AV,,2011/07/05 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
2963,Backbone,Lane,RIVERSIDE DR,ETHEL AV,MARY ELLEN AV,,2011/07/05 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
2964,Backbone,Lane,SHELDON ST,WENTWORTH ST,GLENOAKS BL,,2011/07/05 00:00:00+00,East Valley,Lane,2023/10/17 00:00:00+00
2965,Backbone,Sharrowed Route,ADAMS BL,PORTLAND ST,PORTLAND ST,,2010/07/07 00:00:00+00,South Los Angeles,Sharrowed Route,2023/10/17 00:00:00+00
